iter	RMSE
0	0.3856492381
1	0.3733210066
2	0.3620583993
3	0.3521724552
4	0.3425469986
5	0.333632922
6	0.3249313379
7	0.3176052259
8	0.3104641347
9	0.3042208615
10	0.2986340989
11	0.2930792072
12	0.2881302126
13	0.2835566478
14	0.2793117893
15	0.2752127906
16	0.2712728722
17	0.2676407855
18	0.2643060907
19	0.2612644217
20	0.2586996735
21	0.2561062973
22	0.2535378387
23	0.2507911223
24	0.2484133923
25	0.2459938142
26	0.2439287884
27	0.2417746523
28	0.2398386311
29	0.2381904097
30	0.2363075012
31	0.2345556942
32	0.2329340317
33	0.2312259091
34	0.2300432815
35	0.2286506267
36	0.2268935571
37	0.2257411757
38	0.2246967902
39	0.2233449772
40	0.2223469632
41	0.2211354984
42	0.2199835658
43	0.2190789432
44	0.2183412724
45	0.2171874854
46	0.2159695402
47	0.2149014912
48	0.2140803572
49	0.2131580441
50	0.2122516452
51	0.2114966218
52	0.2107679846
53	0.2100964491
54	0.2091478633
55	0.2083789523
56	0.2078127969
57	0.2071928916
58	0.2064847465
59	0.2054801193
60	0.2048674516
61	0.204123126
62	0.2032673685
63	0.2026315638
64	0.2020642525
65	0.2015162286
66	0.2009475254
67	0.2003406867
68	0.1994498584
69	0.1988937866
70	0.1983837208
71	0.1977581632
72	0.1970837116
73	0.1965574878
74	0.1960340398
75	0.1952778828
76	0.1948768011
77	0.1943768359
78	0.1938901493
79	0.1930796161
80	0.1923844523
81	0.1918717794
82	0.1914974373
83	0.1911593746
84	0.1907149635
85	0.1902428388
86	0.1898721976
87	0.1894520356
88	0.189036311
89	0.1884626862
90	0.1880783173
91	0.1877567908
92	0.1871336275
93	0.1867862306
94	0.1862132835
95	0.1857848361
96	0.1853760169
97	0.184938054
98	0.1842307885
99	0.1837748479
100	0.1833844048
101	0.182867235
102	0.1825417748
103	0.1818393004
104	0.1813413354
105	0.181032226
106	0.180687924
107	0.1803205353
108	0.1800002821
109	0.1796355845
110	0.1793405645
111	0.1790627001
112	0.1786767979
113	0.1782791327
114	0.17799256
115	0.1776315818
116	0.1770404577
117	0.1766673498
118	0.1764031103
119	0.1760284537
120	0.1756098482
121	0.175195556
122	0.1749106193
123	0.1746726707
124	0.174310188
125	0.1737785842
126	0.17350138
127	0.173291871
128	0.1729905724
129	0.1727507022
130	0.1723690182
131	0.1720122104
132	0.1715871937
133	0.1711878863
134	0.1708899341
135	0.1705449303
136	0.1701676664
137	0.169904077
138	0.1696078717
139	0.1693677612
140	0.1690861821
141	0.1687471321
142	0.1683786764
143	0.1681683437
144	0.167861207
145	0.1676490276
146	0.167301776
147	0.1670668228
148	0.1667762029
149	0.1663506751
150	0.1660152198
151	0.1658594069
152	0.1655360194
153	0.1652340459
154	0.1649432395
155	0.164578626
156	0.1640714055
157	0.1638747117
158	0.1636838504
159	0.1633407248
160	0.1630852359
161	0.1627077464
162	0.1624952082
163	0.1622178333
164	0.1620208782
165	0.1617416583
166	0.1613787463
167	0.1610178312
168	0.1608360925
169	0.1606208199
170	0.1604203802
171	0.1602033213
172	0.1599745982
173	0.1596473264
174	0.1594985662
175	0.1593008609
176	0.1591095855
177	0.1586986718
178	0.1584564175
179	0.1581336221
180	0.157845765
181	0.1576257331
182	0.1572188868
183	0.156930719
184	0.1566481883
185	0.1563688588
186	0.1560881087
187	0.1557283743
188	0.15548973
189	0.1551707529
190	0.1549282382
191	0.1546616368
192	0.1543758646
193	0.1541308443
194	0.1538981479
195	0.1535884716
196	0.1533893951
197	0.1530573895
198	0.1528454321
199	0.1525530467
200	0.1523801602
201	0.1520927592
202	0.1519093436
203	0.1516725446
204	0.151365051
205	0.1512089591
206	0.1510339086
207	0.1506751791
208	0.1504107048
209	0.1502251837
210	0.1500032531
211	0.1497254199
212	0.1495326675
213	0.1493396558
214	0.1491890919
215	0.1489789678
216	0.1487033608
217	0.1484694349
218	0.1483096375
219	0.148134828
220	0.1479580184
221	0.1477216743
222	0.1475607474
223	0.1473460449
224	0.1471537604
225	0.1470136358
226	0.1468130565
227	0.1464847417
228	0.1462520708
229	0.1461005516
230	0.1459475539
231	0.1457556028
232	0.14545518
233	0.145312675
234	0.1451116763
235	0.1448820601
236	0.1446864266
237	0.1444384415
238	0.1442090525
239	0.1440263998
240	0.1438878425
241	0.1436967017
242	0.1435474693
243	0.1432895969
244	0.1430689267
245	0.1428687225
246	0.1427086607
247	0.1425563317
248	0.1424070089
249	0.1422707484
250	0.1421230012
251	0.1419775638
252	0.1417750883
253	0.1415632034
254	0.1413660644
255	0.1410997799
256	0.140907066
257	0.1407156104
258	0.1405828016
259	0.1403102991
260	0.1401966389
261	0.1400564269
262	0.1398279446
263	0.1395840256
264	0.1394222228
265	0.1392765959
266	0.1390159628
267	0.1388631988
268	0.1385245431
269	0.1384114251
270	0.1382516219
271	0.1380377891
272	0.1378835155
273	0.1377090802
274	0.1375493362
275	0.1373705834
276	0.1372139629
277	0.1370859117
278	0.1369202501
279	0.1367395401
280	0.1366027396
281	0.1363883505
282	0.1362431333
283	0.1360461603
284	0.1358504304
285	0.1357117163
286	0.1355085361
287	0.1353567292
288	0.1351711658
289	0.1350160031
290	0.1348729155
291	0.1347486191
292	0.1345690264
293	0.1344690073
294	0.1342993776
295	0.1341615288
296	0.1339996515
297	0.133816183
298	0.13364223
299	0.1335312806
300	0.1334133827
301	0.1332111481
302	0.133107303
303	0.1329788145
304	0.1328343545
305	0.1327061132
306	0.1325646725
307	0.1324510992
308	0.132269798
309	0.1320723138
310	0.1319374688
311	0.131802858
312	0.1316561483
313	0.1315079846
314	0.131366514
315	0.1312559111
316	0.1311419365
317	0.1310284825
318	0.1308925688
319	0.1307181475
320	0.1306321543
321	0.1304929323
322	0.1303217567
323	0.130170623
324	0.1300160698
325	0.1298552844
326	0.1296308709
327	0.1295063498
328	0.1293562985
329	0.1291788434
330	0.1289768555
331	0.1288693057
332	0.1287121529
333	0.1285696087
334	0.1284625728
335	0.1283050494
336	0.1281873524
337	0.1281007153
338	0.1280206556
339	0.1278931584
340	0.1278123162
341	0.1276110974
342	0.1274741724
343	0.1273620465
344	0.1272915488
345	0.1271624661
346	0.1270483899
347	0.1269649893
348	0.126812349
349	0.126596097
350	0.1264886991
351	0.1264048563
352	0.1262894766
353	0.1261519076
354	0.1260715831
355	0.1259331137
356	0.1258202155
357	0.125655085
358	0.1255331767
359	0.1254047579
360	0.1252537734
361	0.1251348482
362	0.1250203421
363	0.1249173653
364	0.1247845237
365	0.1246711219
366	0.1245462246
367	0.1244150883
368	0.1243118982
369	0.1242146805
370	0.1240943119
371	0.123958209
372	0.1238501633
373	0.1237618485
374	0.1237036081
375	0.123598283
376	0.1234718369
377	0.1233734744
378	0.1232779941
379	0.1232113198
380	0.1230790269
381	0.1230248617
382	0.1229278289
383	0.1228491609
384	0.1227574845
385	0.1226486023
386	0.1225115595
387	0.1223916166
388	0.1223076572
389	0.1221740199
390	0.1219735346
391	0.1218787391
392	0.121770002
393	0.1216423523
394	0.1215440199
395	0.1214464379
396	0.1213257929
397	0.121255743
398	0.1211371019
399	0.1210080335
400	0.1209310952
401	0.1208345246
402	0.1207284376
403	0.1206584555
404	0.1205745824
405	0.1204591051
406	0.1203799494
407	0.1202877401
408	0.1202323813
409	0.1201565618
410	0.120036093
411	0.1199710537
412	0.1197984057
413	0.1196813895
414	0.1195910591
415	0.1194819844
416	0.1193640658
417	0.1192904153
418	0.1191999083
419	0.1191218588
420	0.119041576
421	0.1189437216
422	0.1188234166
423	0.1187543774
424	0.1186542675
425	0.1185623201
426	0.1184459736
427	0.1183526549
428	0.1182828631
429	0.1181902477
430	0.118044243
431	0.1179621533
432	0.1178897801
433	0.1177886669
434	0.1176820967
435	0.1175862181
436	0.1174804764
437	0.1173602925
438	0.1172989392
439	0.1172122345
440	0.1171239347
441	0.1170645564
442	0.1169849145
443	0.1169239737
444	0.1168368663
445	0.116724857
446	0.1166015802
447	0.116517137
448	0.1164276537
449	0.116359639
450	0.1162760056
451	0.1161294712
452	0.116067585
453	0.1159551899
454	0.1158732445
455	0.1157919805
456	0.1157078698
457	0.1156168926
458	0.1155244362
459	0.1154296913
460	0.1153190424
461	0.1152644732
462	0.1152035075
463	0.1151131249
464	0.1150002258
465	0.114889812
466	0.1148288426
467	0.1147442839
468	0.1146689031
469	0.1145585509
470	0.1144789392
471	0.1144243885
472	0.1143172657
473	0.1142308255
474	0.1141613775
475	0.1140635356
476	0.1139505983
477	0.1138369748
478	0.1137764481
479	0.1136763202
480	0.1136304634
481	0.1135600008
482	0.1134654299
483	0.113367573
484	0.1133073104
485	0.1132395092
486	0.1131311247
487	0.1130502234
488	0.1129816349
489	0.1129115271
490	0.1128497255
491	0.1127790384
492	0.1127101658
493	0.1126542898
494	0.1125795199
495	0.1124786009
496	0.1123744132
497	0.1123005995
498	0.1122526924
499	0.1121731133
500	0.112119029
501	0.1120451831
502	0.1119688221
503	0.1118863104
504	0.1118124241
505	0.1116953989
506	0.1116224686
507	0.1115366363
508	0.1114913049
509	0.1114140414
510	0.1113115724
511	0.1112234588
512	0.1111272341
513	0.1110697634
514	0.111013027
515	0.1109104173
