iter	Passed	Remaining
0	192	192624
1	215	107360
2	235	78341
3	257	64117
4	271	53942
5	279	46298
6	290	41149
7	298	36979
8	308	33962
9	317	31411
10	324	29183
11	333	27457
12	341	25911
13	349	24641
14	358	23534
15	366	22537
16	372	21556
17	383	20948
18	391	20229
19	400	19637
20	408	19060
21	418	18607
22	426	18123
23	436	17744
24	444	17333
25	453	16990
26	461	16646
27	468	16278
28	477	15975
29	486	15732
30	494	15464
31	503	15226
32	512	15005
33	520	14794
34	530	14618
35	538	14411
36	548	14269
37	556	14088
38	570	14050
39	579	13903
40	586	13714
41	595	13593
42	604	13443
43	614	13351
44	622	13212
45	632	13117
46	640	12992
47	649	12884
48	658	12779
49	665	12648
50	674	12557
51	682	12438
52	690	12346
53	698	12241
54	707	12147
55	716	12072
56	725	12008
57	734	11932
58	745	11888
59	754	11819
60	762	11743
61	769	11647
62	779	11593
63	788	11533
64	797	11475
65	806	11415
66	818	11404
67	831	11402
68	844	11399
69	855	11369
70	864	11305
71	872	11245
72	880	11184
73	890	11138
74	898	11081
75	908	11046
76	916	10988
77	925	10942
78	933	10886
79	943	10854
80	954	10832
81	964	10798
82	975	10774
83	984	10736
84	991	10671
85	1000	10633
86	1010	10601
87	1020	10576
88	1028	10530
89	1039	10507
90	1047	10463
91	1059	10455
92	1070	10436
93	1080	10412
94	1091	10399
95	1098	10347
96	1104	10281
97	1115	10263
98	1121	10203
99	1129	10166
100	1145	10199
101	1161	10222
102	1170	10189
103	1177	10145
104	1184	10097
105	1193	10067
106	1202	10038
107	1211	10001
108	1218	9957
109	1227	9931
110	1234	9884
111	1242	9849
112	1251	9822
113	1260	9798
114	1271	9787
115	1280	9756
116	1288	9727
117	1296	9693
118	1304	9661
119	1312	9626
120	1317	9572
121	1322	9517
122	1327	9461
123	1331	9406
124	1338	9370
125	1343	9317
126	1349	9274
127	1355	9237
128	1361	9193
129	1367	9151
130	1372	9102
131	1377	9056
132	1384	9026
133	1391	8992
134	1399	8966
135	1405	8931
136	1412	8895
137	1419	8864
138	1425	8830
139	1431	8793
140	1439	8769
141	1448	8752
142	1456	8726
143	1462	8693
144	1470	8669
145	1475	8628
146	1479	8584
147	1484	8544
148	1489	8509
149	1494	8467
150	1499	8433
151	1504	8390
152	1512	8370
153	1518	8340
154	1522	8299
155	1530	8280
156	1535	8242
157	1541	8214
158	1546	8180
159	1552	8149
160	1557	8117
161	1563	8088
162	1571	8069
163	1579	8049
164	1585	8025
165	1594	8009
166	1603	7995
167	1613	7989
168	1617	7954
169	1622	7922
170	1627	7889
171	1633	7865
172	1640	7841
173	1647	7819
174	1654	7799
175	1660	7775
176	1667	7751
177	1674	7732
178	1683	7723
179	1690	7703
180	1697	7683
181	1703	7654
182	1708	7627
183	1713	7599
184	1718	7572
185	1725	7550
186	1733	7535
187	1737	7505
188	1743	7480
189	1748	7452
190	1755	7437
191	1762	7416
192	1772	7411
193	1779	7391
194	1786	7374
195	1791	7348
196	1798	7330
197	1806	7317
198	1812	7296
199	1818	7275
200	1825	7255
201	1832	7239
202	1840	7225
203	1851	7224
204	1858	7208
205	1868	7201
206	1875	7186
207	1889	7193
208	1893	7167
209	1900	7147
210	1912	7151
211	1922	7144
212	1929	7127
213	1937	7117
214	1945	7101
215	1953	7091
216	1959	7071
217	1967	7058
218	1978	7055
219	1991	7061
220	2003	7061
221	2012	7052
222	2024	7054
223	2040	7069
224	2054	7077
225	2072	7097
226	2093	7129
227	2115	7163
228	2126	7157
229	2133	7143
230	2144	7139
231	2153	7127
232	2162	7117
233	2170	7105
234	2178	7092
235	2186	7078
236	2194	7064
237	2202	7051
238	2210	7038
239	2218	7024
240	2226	7012
241	2236	7004
